"case_id","source_type","category","source_name","source_url","accessed_at","original_text","surrounding_context","collection_notes","duplicate_group","expected_class","expected_risk_range","label_confidence","label_reason"
"RW074","safe_context","education","학원관리프로그램 UGE","https://www.uge.co.kr/academy/9413","2026-07-18","근거 없는 비교 광고는 부당 광고입니다","비교 광고의 객관적 근거 안내.","실제 공개 본문 확인(L46-50).","critical_quote","safe","0-19","high","과장 비교를 비판하고 근거를 요구한다."
"RW075","safe_context","legal_admin","크몽","https://kmong.com/article/3170","2026-07-18","최상급 표현은 엄격히 금지됩니다","변호사 광고 규정 안내.","실제 공개 본문 확인(L23-25).","critical_quote","safe","0-19","high","최상급 광고를 금지하는 비판 문맥이다."
"RW076","safe_context","legal_admin","크몽","https://kmong.com/article/3170","2026-07-18","승소율 99%라는 문구는 기준을 증명하지 못하면 허위·과장 광고가 됩니다","수치 광고의 입증 필요성을 설명.","실제 공개 본문 확인(L27-29).","critical_quote","safe","0-19","high","고승소율 문구를 인용해 위험성을 비판한다."
"RW077","safe_context","legal_admin","크몽","https://kmong.com/article/3170","2026-07-18","구체적인 수치보다는 다수의 승소 사례 보유 정도로 표현하는 것이 안전합니다","법률 광고의 완화 문구 제안.","실제 공개 본문 확인(L27-29).","safe_rewrite","safe","0-19","high","절대적 결과 수치 대신 제한된 사실 표현을 권한다."
"RW078","safe_context","legal_admin","크몽","https://kmong.com/article/3170","2026-07-18","타 변호사를 깎아내리는 비교 문구는 사용해서는 안 됩니다","비방·비교 광고 금지 안내.","실제 공개 본문 확인(L30-32).","critical_quote","safe","0-19","high","경쟁자 비방을 금지하는 준법 문맥이다."
"RW079","safe_context","legal_admin","Starryperson","https://starryperson.tistory.com/entry/%EB%B3%80%ED%98%B8%EC%82%AC-%EC%84%A0%ED%83%9D-%EC%8B%9C-%EC%9C%A0%EC%9D%98%ED%95%B4%EC%95%BC-%ED%95%A0-%EC%A0%90-%EC%8B%A0%EB%A2%B0%EC%99%80-%EC%A0%84%EB%AC%B8%EC%84%B1%EC%9D%84-%EA%B8%B0%EC%A4%80%EC%9C%BC%EB%A1%9C?category=735002","2026-07-18","100% 승소처럼 과도한 장담을 한다면 신뢰할 수 없을 가능성이 큽니다","변호사 선택 시 과장 광고 경고.","실제 공개 본문 확인(L39-41).","critical_quote","safe","0-19","high","절대적 승소 장담을 불신하라고 경고한다."
"RW080","safe_context","legal_admin","Starryperson","https://starryperson.tistory.com/entry/%EB%B3%80%ED%98%B8%EC%82%AC-%EC%84%A0%ED%83%9D-%EC%8B%9C-%EC%9C%A0%EC%9D%98%ED%95%B4%EC%95%BC-%ED%95%A0-%EC%A0%90-%EC%8B%A0%EB%A2%B0%EC%99%80-%EC%A0%84%EB%AC%B8%EC%84%B1%EC%9D%84-%EA%B8%B0%EC%A4%80%EC%9C%BC%EB%A1%9C?category=735002","2026-07-18","소송 결과는 다양한 변수에 따라 달라집니다","승소 보장을 부정하는 설명.","실제 공개 본문 확인(L30-31).","uncertainty_disclosure","safe","0-19","high","결과의 불확실성과 변수 존재를 명시한다."
"RW081","safe_context","legal_admin","Starryperson","https://starryperson.tistory.com/entry/%EB%B3%80%ED%98%B8%EC%82%AC-%EC%84%A0%ED%83%9D-%EC%8B%9C-%EC%9C%A0%EC%9D%98%ED%95%B4%EC%95%BC-%ED%95%A0-%EC%A0%90-%EC%8B%A0%EB%A2%B0%EC%99%80-%EC%A0%84%EB%AC%B8%EC%84%B1%EC%9D%84-%EA%B8%B0%EC%A4%80%EC%9C%BC%EB%A1%9C?category=735002","2026-07-18","처리한 사건 경험과 현실적인 조언을 바탕으로 신뢰도를 평가하세요","변호사 선택을 위한 검증 조언.","실제 공개 본문 확인(L133-134).","safe_guidance","safe","0-19","high","보장 대신 경험과 현실적 조언을 평가 기준으로 제시한다."
"RW082","safe_context","privacy_apps","쭈미로운 생활","https://ourstoryerp.tistory.com/1825","2026-07-18","상대방 동의 필수: 몰래 위치 추적은 불법입니다","위치 추적 앱의 합법적 사용 안내.","실제 공개 본문 확인(L110-114).","consent_warning","safe","0-19","high","비동의 추적을 명시적으로 금지한다."
"RW083","safe_context","privacy_apps","쭈미로운 생활","https://ourstoryerp.tistory.com/1825","2026-07-18","위치 공유 범위와 데이터 저장 주기를 확인하세요","개인정보 보호 설정 안내.","실제 공개 본문 확인(L113-115).","privacy_guidance","safe","0-19","high","공유 범위와 보관주기 점검을 권한다."
"RW084","safe_context","privacy_apps","호신캠","https://pisos007.tistory.com/6657","2026-07-18","스파이앱은 동의 없이 설치하면 형사 처벌됩니다","스파이앱 위험과 법적 책임 안내.","실제 공개 본문 확인(L17-21).","consent_warning","safe","0-19","high","비동의 설치의 위법성을 경고한다."
"RW085","safe_context","privacy_apps","Google Play 정책","https://support.google.com/googleplay/android-developer/answer/9857753?hl=ko","2026-07-18","광고는 운영체제의 알림처럼 가장하거나 속여서는 안 됩니다","사기성 광고 정책 안내.","실제 공개 정책 확인(L57-59).","platform_policy","safe","0-19","high","기만적 광고를 금지하는 정책 문맥이다."
"RW086","safe_context","privacy_apps","Google Play 정책","https://support.google.com/googleplay/android-developer/answer/9857753?hl=ko","2026-07-18","광고는 불이익 없이 간편하게 닫을 수 있어야 합니다","방해 광고 관련 정책 안내.","실제 공개 정책 확인(L81-83).","platform_policy","safe","0-19","high","사용자 선택권과 정상 이용을 보장하는 규칙이다."
"RW087","safe_context","privacy_apps","Google Play 정책","https://support.google.com/googleplay/android-developer/answer/9857753?hl=ko","2026-07-18","15초가 지난 후에도 닫을 수 없는 전체 화면 전면 광고는 허용되지 않습니다","전면 광고 시간 제한 정책.","실제 공개 정책 확인(L115-120).","platform_policy","safe","0-19","high","강제 시청 광고를 금지하는 보호 문맥이다."
"RW088","safe_context","privacy_apps","Google Play 정책","https://support.google.com/googleplay/android-developer/answer/9857753?hl=ko","2026-07-18","전면 광고를 반복적으로 표시해 앱 작업을 방해하는 앱은 허용되지 않습니다","광고 게시용 앱 정책.","실제 공개 정책 확인(L133-139).","platform_policy","safe","0-19","high","반복 광고로 사용을 방해하는 행위를 금지한다."
"RW089","safe_context","finance","충청북도 소비생활정보망","https://www.chungbuk.go.kr/sobi/selectBbsNttView.do?bbsNo=218&key=1575&nttNo=321332&pageIndex=15&searchCnd=all&searchCtgry=&searchKrwd=","2026-07-18","광고 문구를 그대로 신뢰하지 않도록 주의해야 한다","투자정보 광고에 대한 소비자 경고.","실제 공개 본문 확인(L161).","critical_quote","safe","0-19","high","이익보장 광고를 신뢰하지 말라고 명시한다."
"RW090","safe_context","finance","한국소비자원","https://www.kca.go.kr/kca/sub.do?menukey=5293&mode=view&no=1002799714&page=101","2026-07-18","중도해지 환급 기준 등 계약서 내용을 반드시 확인할 것","주식투자정보서비스 가입 전 확인 안내.","실제 공개 본문 확인(L328-333).","safe_guidance","safe","0-19","high","환불 기준과 계약 내용을 사전에 검증하도록 권한다."
"RW091","boundary","general_goods_services","공주시청","https://www.gongju.go.kr/kr/sub06_06_03_01.do","2026-07-18","출시기념, 명절, 연말 등 특별 이벤트를 통해 더 큰 만족감 제공","공주페이 소개 페이지의 이벤트 효과 표현.","실제 공개 페이지 확인.","soft_promotion","ambiguous","undecided","medium","일반적 홍보 표현으로 구체 혜택·조건이 없어 위험도를 단정하기 어렵다."
"RW092","boundary","general_goods_services","공주시청","https://www.gongju.go.kr/kr/sub06_06_03_01.do","2026-07-18","소상공인 매출증대 및 부가가치 창출 효과","지역상품권 정책의 기대 효과 표현.","실제 공개 페이지 확인.","soft_promotion","ambiguous","undecided","medium","정책 목적·기대효과인지 검증된 성과 주장인지 문구만으로 불명확하다."
"RW093","boundary","shopping_refund","EBS","https://www.ebs.co.kr/customer/introduce/payment/refund","2026-07-18","패키지 상품의 경우, 별도 규정 적용","환불 안내의 예외 고지.","실제 공개 고객센터 본문 확인(L207-209).","conditional_term","safe","0-19","high","패키지 상품에 별도 규정이 적용됨을 알리는 조건 안내다."
"RW094","boundary","shopping_refund","썸트렌드","https://some.co.kr/service/terms","2026-07-18","할인쿠폰은 일부 품목이나 금액에 따라 사용이 제한될 수 있습니다","쿠폰 적용 제한 안내.","실제 공개 약관 확인(L124-128).","conditional_term","safe","0-19","high","할인쿠폰의 적용 제한 가능성을 명시한 조건 안내다."
"RW095","boundary","shopping_refund","썸트렌드","https://some.co.kr/service/terms","2026-07-18","제공된 할인 쿠폰은 중복으로 사용할 수 없습니다","쿠폰 중복 사용 제한.","실제 공개 약관 확인(L124-128).","conditional_term","safe","0-19","high","할인쿠폰 중복 사용 제한을 명시한 정상 조건 안내다."
"RW096","boundary","education","사람인스토어","https://www.saramin.co.kr/zf_user/store/product?salePrdCd=PMe8dd333b845b42a2b0","2026-07-18","판매자의 경력을 강조합니다!","마켓플레이스 상품 판매자 소개 섹션.","실제 공개 상품 페이지 확인.","credential_claim","ambiguous","undecided","medium","경력 강조 자체는 가능하지만 검증 범위와 관련성이 문구만으로 불명확하다."
"RW097","boundary","general_goods_services","사람인스토어","https://www.saramin.co.kr/zf_user/store/product?salePrdCd=PMe8dd333b845b42a2b0","2026-07-18","추천하고 싶어요","상품 리뷰 반응 라벨.","실제 공개 상품 페이지 확인(L283-285).","testimonial","safe","0-19","high","개인적 추천 의사 표현만으로 위험 주장이나 기만 요소를 판단할 수 없다."
"RW098","boundary","education","Yokobe 블로그","https://yokobe.tistory.com/entry/2026-%EC%B5%9C%EC%8B%A0-%EA%B2%80%EC%A0%95%EA%B3%A0%EC%8B%9C-%EC%B6%9C%EC%8B%A0-%EC%88%98%ED%97%98%EC%83%9D%EC%9D%84-%EC%9C%84%ED%95%9C-%ED%95%99%EC%83%9D%EB%B6%80-%EC%A2%85%ED%95%A9-%EC%A0%84%ED%98%95-%EC%A7%80%EC%9B%90-%EC%A0%84%EB%9E%B5-%ED%95%A9%EA%B2%A9%EB%A5%A0-300-%EC%98%AC%EB%A6%AC%EB%8A%94-%EB%8C%80%EC%B2%B4%EC%84%9C%EC%8B%9D-%EC%9E%91%EC%84%B1%EB%B2%95","2026-07-18","여러분의 입시 성공을 이끌어 낼 가장 독보적이고 압도적인 정보","입시 전략 글의 자기 홍보 문장.","실제 공개 본문 확인(L35-36).","education_superlative","ambiguous","undecided","medium","강한 최상급이지만 구체적 합격 보장인지 수사적 홍보인지 경계가 있다."
"RW099","boundary","privacy_apps","Google Play","https://play.google.com/store/apps/details?hl=ko&id=grsuccess1.kakaomessengertalkcapture","2026-07-18","광고 포함","앱 스토어의 수익모델 표시.","실제 공개 앱 페이지 확인(L35-40).","platform_label","safe","0-19","high","광고 포함 여부를 표시하는 고지 문구이며 위험 기능이나 효능을 주장하지 않는다."
"RW100","boundary","health_beauty","대한영양사협회","https://www.dietitian.or.kr/ks_result.do?curPage=835&curpage=762","2026-07-18","365일 안전한 식품, 건강한 미래","식품안전의 날 공식 캠페인 슬로건.","실제 공개 본문 확인(L236-240).","health_slogan","ambiguous","undecided","medium","안전이라는 강한 단어가 있으나 제품 효능 보장이 아닌 공익 캠페인 슬로건이다."
