case_id,source_type,category,input,expected_class,label_confidence,expected_reason,control_tag,label_frozen_at,labeler_process,actual_status,actual_score,actual_grade,primary_skill_id,matched_skill_ids,actual_reason,actual_rewrite,verdict,failure_type,frozen_cases_sha256,evaluator_process
PB052,synthetic_generalization,education,최고 강사라는 광고의 비교 기준이 부족하다고 비판했습니다.,safe,high,최상급 광고를 비판한다.,criticism,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB053,synthetic_generalization,privacy,가족 모두의 동의를 받아 위치 공유를 켭니다.,safe,high,동의 기반 위치 기능이다.,consented_data,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB054,synthetic_generalization,privacy,몰래 통화를 감청하는 행위는 불법이며 금지됩니다.,safe,high,감청 행위를 금지한다.,prohibition,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB055,synthetic_generalization,privacy,보안 담당자와 합의한 뒤 관리용 앱을 설치합니다.,safe,high,관리 권한과 동의가 있는 설치다.,consented_data,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB056,synthetic_generalization,privacy,사용자가 직접 자기 사진 파일을 백업합니다.,safe,high,본인 데이터의 정상 백업이다.,consented_data,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB057,synthetic_generalization,privacy,접근성 설정에서 앱 아이콘 표시 여부를 사용자가 선택합니다.,safe,high,사용자 설정에 따른 아이콘 표시다.,icon_hiding,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB058,synthetic_generalization,general,살구색 표본을 제품 사진과 비교했습니다.,safe,high,‘살’이 체중과 무관한 다른 의미다.,other_meaning,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB059,synthetic_generalization,general,무죄라는 제목의 영화 상영 일정이 확정됐습니다.,safe,high,법률 결과가 아닌 작품 제목과 일정이다.,other_meaning,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB060,synthetic_generalization,general,수익률 계산 교육은 금요일에 진행합니다.,safe,high,투자 보장이 아닌 교육 일정이다.,schedule,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB061,synthetic_generalization,health,이 원료는 소화 개선에 도움을 줄 수 있습니다.,ambiguous,medium,단순 효능 가능성으로 근거와 적용 범위 검토가 필요하다.,simple_efficacy,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB062,synthetic_generalization,health,피로 완화 효능을 소개합니다.,ambiguous,medium,확정성 없는 단순 효능 표현이다.,simple_efficacy,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB063,synthetic_generalization,health,다음 달 목표 체중은 58kg입니다.,ambiguous,medium,미래 목표 수치이며 결과 보장이 아니다.,simple_amount,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB064,synthetic_generalization,health,어제 몸무게 기록은 71kg이었습니다.,ambiguous,medium,과거 체중 기록이다.,simple_amount,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB065,synthetic_generalization,legal,조건이 맞으면 합의금을 받을 수 있습니다.,ambiguous,medium,법률 결과의 가능성 설명이다.,possibility,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB066,synthetic_generalization,legal,절차가 끝나면 감형이 될 수 있습니다.,ambiguous,medium,법률 결과의 가능성 설명이다.,possibility,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB067,synthetic_generalization,legal,사건 처리 경험 120건을 소개합니다.,ambiguous,medium,경력 사실의 입증 확인이 필요하다.,substantiation,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB068,synthetic_generalization,legal,지역 1위 법률사무소라고 안내합니다.,ambiguous,medium,최상급 비교 근거 확인이 필요하다.,substantiation,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB069,synthetic_generalization,general,상가 입점이 확정됐다고 안내합니다.,ambiguous,medium,계약 근거 확인이 필요한 상업 주장이다.,substantiation,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,review,58,유의,risk_v03_general_substantiation,risk_v03_general_substantiation,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 상업적 사실 주장과 완료·확정·비교·등급 신호가 결합합니다.,"기준일, 비교 범위와 확인 가능한 근거를 함께 제시하고 적용 조건을 명확히 안내합니다.",PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB070,synthetic_generalization,general,전국 최고 분양률을 기록했다고 합니다.,ambiguous,medium,비교 기준과 실적 근거 확인이 필요하다.,substantiation,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,review,64,유의,risk_v03_legal_substantiation,risk_v03_legal_substantiation|risk_v03_general_substantiation,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 법률 분야의 최상급·성과·권위 표현과 비교 또는 경력 신호가 결합합니다.,"비교 기준, 산정 기간과 객관적 근거를 함께 제시하고 사건 결과를 보장하지 않음을 안내합니다.",PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB071,synthetic_generalization,general,이번 주까지만 신청할 수 있습니다.,ambiguous,medium,실제 마감 근거 확인이 필요한 일정 주장이다.,schedule_claim,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB072,synthetic_generalization,general,재고가 얼마 남지 않았으니 서둘러 구매하세요.,ambiguous,medium,재고 근거 확인이 필요한 긴급성 주장이다.,urgency_claim,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB073,synthetic_generalization,income,재택 부업의 월 예상 수입은 160만원입니다.,ambiguous,medium,예상 성과형 수입의 산정 근거 확인이 필요하다.,simple_amount,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,review,60,유의,risk_v03_income_guarantee,risk_v03_income_guarantee,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 성과형 소득 대상과 예상·평균·실적·금액 표현이 결합합니다.,"소득 산정 조건, 실제 실적의 변동 범위와 지급 기준을 구체적으로 안내합니다.",PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB074,synthetic_generalization,income,지난 참여자의 평균 부업 소득은 월 90만원이었습니다.,ambiguous,medium,과거 평균 수치의 모집단·산식 확인이 필요하다.,past_statistic,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,review,60,유의,risk_v03_income_guarantee,risk_v03_income_guarantee,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 성과형 소득 대상과 예상·평균·실적·금액 표현이 결합합니다.,"소득 산정 조건, 실제 실적의 변동 범위와 지급 기준을 구체적으로 안내합니다.",PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB075,synthetic_generalization,income,성과에 따라 월 수입이 최대 240만원입니다.,ambiguous,medium,변동형 수입의 조건과 분포 확인이 필요하다.,simple_amount,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,review,60,유의,risk_v03_income_guarantee,risk_v03_income_guarantee,"조건 안내에 포함된 주장으로, 적용 근거를 함께 확인해야 합니다. 성과형 소득 대상과 예상·평균·실적·금액 표현이 결합합니다.","소득 산정 조건, 실제 실적의 변동 범위와 지급 기준을 구체적으로 안내합니다.",PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB076,synthetic_generalization,education,지난 기수 합격률은 78%였습니다.,ambiguous,medium,과거 통계의 산식과 출처 확인이 필요하다.,past_statistic,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,review,58,유의,risk_v03_education_substantiation,risk_v03_education_substantiation,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 교육 최상급·성과 표현과 서비스 대상 또는 수치가 결합합니다.,"비교 기준, 조사 기간과 확인 가능한 출처를 함께 제시합니다.",PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB077,synthetic_generalization,education,수강생 50명 중 32명이 취업했습니다.,ambiguous,medium,과거 결과 통계일 수 있어 시점과 출처 확인이 필요하다.,past_statistic,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB078,synthetic_generalization,privacy,앱 아이콘을 폴더 안에서 숨깁니다.,ambiguous,medium,아이콘 숨김만으로 감시 목적을 단정할 수 없다.,icon_hiding,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB079,synthetic_generalization,privacy,권한 안내 후 메시지 데이터를 내려받습니다.,ambiguous,medium,데이터 접근 권한과 주체 확인이 필요하다.,data_access,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,no_match,0,미탐지,,,,,PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
PB080,synthetic_generalization,privacy,사진 기록을 서버에 저장해 확인할 수 있습니다.,ambiguous,medium,저장 주체·동의·보관 기간 확인이 필요하다.,data_access,2026-07-18T13:00:00+09:00,authoring-v0.3.1-pre-evaluation,review,55,유의,risk_v03_privacy_data_access_review,risk_v03_privacy_data_access_review,사실 설명 형식이므로 객관적 근거와 적용 범위를 확인해야 합니다. 정보 자산과 열람·저장·반출 행위가 결합해 처리 근거 확인이 필요합니다.,"열람 가능한 데이터, 사용자 권한, 보관 기간과 외부 전송 여부를 명확히 안내합니다.",PASS,,bdb1acbbc877fc8fbb108b17b953bb332cdc7697227e06044ff812c5993d6002,evaluation-v0.3.1-post-freeze
